passportfrom_country_name,passportfrom_alpha_3code,New_Overall_ranking,gain-loss,gain-loss-rank,passportfrom_destinations_visafree,passportfrom_welcomed_visafree,visaFreeRatio,visafree_percent,visafree_countries_Rank,countryto_GDP_2016_billions_USD,countryto_UN_World_GDP_percent,GDP_Rank,countryto_surface_area,countryto_Surface_area_covered_percent,Surface_Rank,countryto_population_millions,countryto_UN_population_Value_percent,Population_Rank,countryto_unesco_total_sites,countryto_unesco_total_sites_percent,unesco_total_sites_Rank,passportfrom_region_name,passportfrom_sub_region_name,passportfrom_development_status,passportfrom_GDP_2016_billions_USD,passportfrom_GDP_capita_2016_USD,passportfrom_UN_World_GDP_percent,passportfrom_population_millions,passportfrom_UN_population_Value_percent,passportfrom_surface_area,passportfrom_Surface_area_covered_percent,passportfrom_unesco_total_sites,passportfrom_unesco_total_sites_percent,passportfrom_trade_import_UN,passportfrom_trade_export_UN,passportfrom_openness_index,passportfrom_unemployment_rate_UN,passportfrom_visitor_arrivals,passportfrom_tourism_expenditure
Gabon,GAB,151,1,71,56.0,57.0,1.0,0.24669603524229075,152,3908.9500000000003,0.051672286755169966,146,16976.0,0.1246750194621113,149,1263.62,0.16555087110661584,155,155.0,0.13281919451585258,146,Africa,Sub-Saharan Africa,Developing,13.863,7002.0,0.00018325455973776104,2.07,0.0002711972770221229,268.0,0.0019682437096987413,1.0,0.000856898029134533,2931.0,2854.0,417.29784317968694,20.4,,
Togo,TGO,153,-1,94,56.0,199.0,0.3,0.24669603524229075,152,3610.406,0.04772584303574775,160,18114.0,0.13303271103538433,143,1426.61,0.18690470887561866,135,142.0,0.12167952013710367,160,Africa,Sub-Saharan Africa,Least Developed,4.449,585.0,5.8811190671088425e-05,7.99,0.0010467952866699333,57.0,0.00041861899795831434,1.0,0.000856898029134533,1716.0,715.0,546.4149247021803,1.9,202.0,
Mali,MLI,147,5,46,56.0,25.0,2.2,0.24669603524229075,152,3528.034000000001,0.04663697016589859,162,19780.0,0.14526813648448167,129,1418.4500000000003,0.18583564134880684,136,144.0,0.12339331619537275,157,Africa,Sub-Saharan Africa,Least Developed,14.002,778.0,0.00018509199635346823,19.11,0.0025036618183056853,1240.0,0.009106799253829997,4.0,0.003427592116538132,3845.0,2848.0,478.00314240822735,8.1,169.0,
Bhutan,BTN,150,2,64,56.0,4.0,14.0,0.24669603524229075,152,4338.363000000001,0.05734868365776471,139,15447.0,0.1134457484467032,162,1327.72,0.17394881577189036,147,157.0,0.13453299057412166,143,Asia,Southern Asia,Least Developed,2.213,2774.0,2.9253577198273477e-05,0.82,0.00010743080539040616,38.0,0.0002790793319722096,,,1003.0,525.0,690.4654315408947,3.3,41.0,137.0
Niger,NER,168,-12,169,55.0,21.0,2.6,0.2422907488986784,156,2784.7930000000006,0.03681209082996457,174,15923.0,0.11694158428930244,159,1121.56,0.14693913913861453,169,139.0,0.11910882604970006,164,Africa,Sub-Saharan Africa,Least Developed,7.528,364.0,9.951239455427145e-05,22.31,0.00292290398568288,1267.0,0.009305092463389198,3.0,0.002570694087403599,1861.0,927.0,370.3506907545165,0.9,74.0,
Cambodia,KHM,153,3,59,55.0,194.0,0.3,0.2422907488986784,156,4200.499000000001,0.055526263790226196,141,15120.0,0.11104419735315287,164,1443.61,0.1891319328898101,133,147.0,0.12596401028277635,156,Asia,South-eastern Asia,Least Developed,20.017,1270.0,0.0002646040916302938,16.25,0.0021289641312123176,181.0,0.001329298923341314,3.0,0.002570694087403599,12371.0,10069.0,1121.047109956537,0.4,2508.0,3523.0
Rwanda,RWA,158,-2,106,55.0,197.0,0.3,0.2422907488986784,156,3047.3460000000005,0.040282770655603206,170,19079.0,0.14011985722888912,135,1271.6399999999999,0.16660159678860498,154,140.0,0.11996572407883463,162,Africa,Sub-Saharan Africa,Least Developed,8.474,711.0,0.000112017538715847,12.5,0.0016376647163171673,26.0,0.00019094901661256445,,,1778.0,622.0,283.21925890960586,3.0,504.0,470.0
Turkmenistan,TKM,160,-1,94,54.0,2.0,27.0,0.23788546255506607,159,3782.6380000000004,0.05000257241126199,150,13673.0,0.10041715015936897,177,1148.24,0.15043457070912192,167,161.0,0.1379605826906598,140,Asia,Central Asia,Developing,36.18,6389.0,0.0004782622788222026,5.85,0.0007664270872364342,488.0,0.003583966157958902,3.0,0.002570694087403599,2616.0,3741.0,175.70480928689884,4.0,,
Guinea-Bissau,GNB,169,-10,159,54.0,199.0,0.3,0.23788546255506607,159,2427.867999999999,0.03209391051297688,177,14315.0,0.10513212203111,172,1160.35,0.15202114028629002,166,135.0,0.11568123393316194,168,Africa,Sub-Saharan Africa,Least Developed,1.123,618.0,1.4844901578699102e-05,1.91,0.00025023516865326314,36.0,0.0002643909460789354,,,212.0,885.0,976.8477292965272,6.3,22.0,
Madagascar,MDG,167,-8,148,54.0,198.0,0.3,0.23788546255506607,159,3640.5140000000006,0.04812383973809101,156,13619.0,0.10002056374025058,179,1195.86,0.15667341821240377,162,140.0,0.11996572407883463,162,Africa,Sub-Saharan Africa,Least Developed,11.222,451.0,0.00014834326403932442,26.26,0.0034404060360391053,587.0,0.004311041259675974,3.0,0.002570694087403599,2965.0,2256.0,465.2468365710212,3.8,196.0,913.0
